,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
28035,KMGM,large_airport,Montgomery Regional (Dannelly Field) Airport,221.0,,US,US-AL,Montgomery,KMGM,MGM,MGM,"32.30059814, -86.39399719"
28037,KMGR,small_airport,Moultrie Municipal Airport,294.0,,US,US-GA,Moultrie,KMGR,MGR,MGR,"31.084899902300002, -83.8032989502"
28038,KMGW,medium_airport,Morgantown Municipal Walter L. Bill Hart Field,1248.0,,US,US-WV,Morgantown,KMGW,MGW,MGW,"39.64289856, -79.91629791"
28039,KMGY,small_airport,Dayton-Wright Brothers Airport,957.0,,US,US-OH,Dayton,KMGY,MGY,MGY,"39.5890007019, -84.224899292"
28040,KMHE,small_airport,Mitchell Municipal Airport,1304.0,,US,US-SD,Mitchell,KMHE,MHE,MHE,"43.774799346900004, -98.03859710690001"
28041,KMHK,medium_airport,Manhattan Regional Airport,1057.0,,US,US-KS,Manhattan,KMHK,MHK,MHK,"39.14099884033203, -96.6707992553711"
28042,KMHL,small_airport,Marshall Memorial Municipal Airport,779.0,,US,US-MO,Marshall,KMHL,MHL,MHL,"39.0957984924, -93.20290374759999"
28044,KMHR,medium_airport,Sacramento Mather Airport,98.0,,US,US-CA,Sacramento,KMHR,MHR,MHR,"38.55390167, -121.2979965"
28045,KMHT,large_airport,Manchester-Boston Regional Airport,266.0,,US,US-NH,Manchester,KMHT,MHT,MHT,"42.932598, -71.435699"
28046,KMHV,small_airport,Mojave Airport,2801.0,,US,US-CA,Mojave,KMHV,MHV,MHV,"35.05939865, -118.1520004"
28047,KMIA,large_airport,Miami International Airport,8.0,,US,US-FL,Miami,KMIA,MIA,MIA,"25.79319953918457, -80.29060363769531"
28048,KMIB,medium_airport,Minot Air Force Base,1667.0,,US,US-ND,Minot,KMIB,MIB,MIB,"48.4156, -101.358002"
28050,KMIE,medium_airport,Delaware County Johnson Field,937.0,,US,US-IN,Muncie,KMIE,MIE,MIE,"40.2422981262207, -85.3958969116211"
28052,KMIT,small_airport,Shafter Airport - Minter Field,424.0,,US,US-CA,Shafter,KMIT,MIT,MIT,"35.507401, -119.192002"
28053,KMIV,medium_airport,Millville Municipal Airport,85.0,,US,US-NJ,Millville,KMIV,MIV,MIV,"39.367802, -75.072197"
28057,KMJX,small_airport,Ocean County Airport,82.0,,US,US-NJ,Toms River,KMJX,MJX,MJX,"39.92750168, -74.29239655"
28059,KMKC,medium_airport,Charles B. Wheeler Downtown Airport,759.0,,US,US-MO,Kansas City,KMKC,MKC,MKC,"39.123199462890625, -94.5927963256836"
28060,KMKE,large_airport,General Mitchell International Airport,723.0,,US,US-WI,Milwaukee,KMKE,MKE,MKE,"42.947200775146484, -87.89659881591797"
28061,KMKG,small_airport,Muskegon County Airport,629.0,,US,US-MI,Muskegon,KMKG,MKG,MKG,"43.16949844, -86.23819733"
28063,KMKL,medium_airport,McKellar-Sipes Regional Airport,434.0,,US,US-TN,Jackson,KMKL,MKL,MKL,"35.599899, -88.915604"
28069,KMKY,small_airport,Marco Island Executive Airport,5.0,,US,US-FL,Marco Island,KMKY,MRK,MKY,"25.995001, -81.672501"
28070,KMLB,medium_airport,Melbourne International Airport,33.0,,US,US-FL,Melbourne,KMLB,MLB,MLB,"28.102800369262695, -80.64530181884766"
28071,KMLC,medium_airport,Mc Alester Regional Airport,770.0,,US,US-OK,Mc Alester,KMLC,MLC,MLC,"34.882401, -95.783501"
28075,KMLI,large_airport,Quad City International Airport,590.0,,US,US-IL,Moline,KMLI,MLI,MLI,"41.44850158691406, -90.50749969482422"
28078,KMLS,medium_airport,Frank Wiley Field,2630.0,,US,US-MT,Miles City,KMLS,MLS,MLS,"46.428001403808594, -105.88600158691406"
28080,KMLU,large_airport,Monroe Regional Airport,79.0,,US,US-LA,Monroe,KMLU,MLU,MLU,"32.51089859008789, -92.0376968383789"
28081,KMM,small_airport,Kimaam Airport,26.0,AS,ID,ID-PA,Kimaam,,KMM,,"-7.9781999588, 138.852005005"
28082,KMMH,small_airport,Mammoth Yosemite Airport,7135.0,,US,US-CA,Mammoth Lakes,KMMH,MMH,MMH,"37.62409973, -118.8379974"
28083,KMMI,small_airport,McMinn County Airport,875.0,,US,US-TN,Athens,KMMI,MMI,MMI,"35.39730072, -84.56259918"
28085,KMML,small_airport,Southwest Minnesota Regional Airport - Marshall/Ryan Field,1183.0,,US,US-MN,Marshall,KMML,MML,MML,"44.45050049, -95.82189941"
28086,KMMS,small_airport,Selfs Airport,162.0,,US,US-MS,Marks,KMMS,MMS,MMS,"34.2314987183, -90.28959655759999"
28087,KMMT,medium_airport,Mc Entire Joint National Guard Base,254.0,,US,US-SC,Eastover,KMMT,MMT,MMT,"33.92079926, -80.80130005"
28088,KMMU,medium_airport,Morristown Municipal Airport,187.0,,US,US-NJ,Morristown,KMMU,MMU,MMU,"40.799400329589844, -74.41490173339844"
28093,KMNM,small_airport,Menominee Regional Airport,625.0,,US,US-MI,Menominee,KMNM,MNM,MNM,"45.126701, -87.638397"
28094,KMNN,small_airport,Marion Municipal Airport,993.0,,US,US-OH,Marion,KMNN,MNN,MNN,"40.6161994934, -83.06349945070001"
28101,KMOB,large_airport,Mobile Regional Airport,219.0,,US,US-AL,Mobile,KMOB,MOB,MOB,"30.691200256348, -88.242797851562"
28102,KMOD,medium_airport,Modesto City Co-Harry Sham Field,97.0,,US,US-CA,Modesto,KMOD,MOD,MOD,"37.62580109, -120.9540024"
28105,KMOT,medium_airport,Minot International Airport,1716.0,,US,US-ND,Minot,KMOT,MOT,MOT,"48.2593994140625, -101.27999877929688"
28109,KMPI,small_airport,Mariposa Yosemite Airport,2254.0,,US,US-CA,Mariposa,KMPI,RMY,MPI,"37.5108985901, -120.040000916"
28110,KMPJ,small_airport,Petit Jean Park Airport,923.0,,US,US-AR,Morrilton,KMPJ,MPJ,MPJ,"35.138901, -92.909202"
28111,KMPO,small_airport,Pocono Mountains Municipal Airport,1915.0,,US,US-PA,Mount Pocono,KMPO,MPO,MPO,"41.137503, -75.378897"
28113,KMPV,medium_airport,Edward F Knapp State Airport,1166.0,,US,US-VT,Barre/Montpelier,KMPV,MPV,MPV,"44.20349884, -72.56230164"
28114,KMPZ,small_airport,Mount Pleasant Municipal Airport,730.0,,US,US-IA,Mount Pleasant,KMPZ,MPZ,MPZ,"40.94660187, -91.51110077"
28115,KMQB,small_airport,Macomb Municipal Airport,707.0,,US,US-IL,Macomb,KMQB,MQB,MQB,"40.520099639899996, -90.65239715579999"
28116,KMQI,small_airport,Dare County Regional Airport,13.0,,US,US-NC,Manteo,KMQI,MEO,MQI,"35.91899872, -75.69550323"
28118,KMQS,small_airport,Chester County G O Carlson Airport,660.0,,US,US-PA,Coatesville,KMQS,CTH,MQS,"39.97900009, -75.8655014"
28121,KMQY,medium_airport,Smyrna Airport,543.0,,US,US-TN,Smyrna,KMQY,MQY,MQY,"36.0089988708, -86.5201034546"
28122,KMRB,medium_airport,Eastern WV Regional Airport/Shepherd Field,565.0,,US,US-WV,Martinsburg,KMRB,MRB,MRB,"39.40190125, -77.98459625"
28123,KMRC,small_airport,Maury County Airport,681.0,,US,US-TN,Columbia/Mount Pleasant,KMRC,MRC,MRC,"35.5541000366, -87.17890167239999"
28124,KMRF,small_airport,Marfa Municipal Airport,4849.0,,US,US-TX,Marfa,KMRF,MRF,MRF,"30.371099, -104.017997"
28127,KMRN,small_airport,Foothills Regional Airport,1270.0,,US,US-NC,Morganton,KMRN,MRN,MRN,"35.820202, -81.611397"
28129,KMRY,medium_airport,Monterey Peninsula Airport,257.0,,US,US-CA,Monterey,KMRY,MRY,MRY,"36.58700180053711, -121.84300231933594"
28131,KMSL,medium_airport,Northwest Alabama Regional Airport,551.0,,US,US-AL,Muscle Shoals,KMSL,MSL,MSL,"34.74530029, -87.61019897"
28132,KMSN,large_airport,Dane County Regional Truax Field,887.0,,US,US-WI,Madison,KMSN,MSN,MSN,"43.13990020751953, -89.3375015258789"
28133,KMSO,medium_airport,Missoula International Airport,3206.0,,US,US-MT,Missoula,KMSO,MSO,MSO,"46.91630173, -114.0910034"
28134,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,841.0,,US,US-MN,Minneapolis,KMSP,MSP,MSP,"44.882, -93.221802"
28135,KMSS,medium_airport,Massena International Richards Field,215.0,,US,US-NY,Massena,KMSS,MSS,MSS,"44.93579864501953, -74.84559631347656"
28136,KMSV,small_airport,Sullivan County International Airport,1403.0,,US,US-NY,Monticello,KMSV,MSV,MSV,"41.701596, -74.794997"
28137,KMSY,large_airport,Louis Armstrong New Orleans International Airport,4.0,,US,US-LA,New Orleans,KMSY,MSY,MSY,"29.99340057373047, -90.25800323486328"
28138,KMT,closed,Kampot Airport,44.0,AS,KH,KH-7,Kampot,,KMT,,"10.6343, 104.1617"
28139,KMTC,medium_airport,Selfridge Air National Guard Base Airport,580.0,,US,US-MI,Mount Clemens,KMTC,MTC,MTC,"42.613463, -82.836919"
28140,KMTH,medium_airport,The Florida Keys Marathon Airport,5.0,,US,US-FL,Marathon,KMTH,MTH,MTH,"24.726101, -81.051399"
28141,KMTJ,medium_airport,Montrose Regional Airport,5759.0,,US,US-CO,Montrose,KMTJ,MTJ,MTJ,"38.509799957300004, -107.893997192"
28142,KMTN,medium_airport,Martin State Airport,21.0,,US,US-MD,Baltimore,KMTN,MTN,MTN,"39.325699, -76.413803"
28143,KMTO,small_airport,Coles County Memorial Airport,722.0,,US,US-IL,Mattoon/Charleston,KMTO,MTO,MTO,"39.477901, -88.279198"
28144,KMTP,small_airport,Montauk Airport,6.0,,US,US-NY,Montauk,KMTP,MTP,MTP,"41.0765, -71.920797"
28146,KMTW,small_airport,Manitowoc County Airport,651.0,,US,US-WI,Manitowoc,KMTW,MTW,MTW,"44.128799, -87.680602"
28148,KMUI,medium_airport,Muir Army Air Field (Fort Indiantown Gap) Airport,488.0,,US,US-PA,Fort Indiantown Gap(Annville),KMUI,MUI,MUI,"40.434799, -76.569397"
28150,KMUO,large_airport,Mountain Home Air Force Base,2996.0,,US,US-ID,Mountain Home,KMUO,MUO,MUO,"43.043598, -115.872002"
28151,KMUT,small_airport,Muscatine Municipal Airport,547.0,,US,US-IA,Muscatine,KMUT,MUT,MUT,"41.367803, -91.148201"
28153,KMVC,small_airport,Monroe County Aeroplex Airport,419.0,,US,US-AL,Monroeville,KMVC,MVC,MVC,"31.458, -87.350996"
28154,KMVE,small_airport,Montevideo Chippewa County Airport,1034.0,,US,US-MN,Montevideo,KMVE,MVE,MVE,"44.969101, -95.710297"
28156,KMVL,small_airport,Morrisville Stowe State Airport,732.0,,US,US-VT,Morrisville,KMVL,MVL,MVL,"44.53459930419999, -72.6139984131"
28159,KMVY,small_airport,Martha's Vineyard Airport,67.0,,US,US-MA,Martha's Vineyard,KMVY,MVY,MVY,"41.3931007385, -70.6143035889"
28160,KMWA,small_airport,Williamson County Regional Airport,472.0,,US,US-IL,Marion,KMWA,MWA,MWA,"37.75500107, -89.01110077"
28161,KMWC,small_airport,Lawrence J Timmerman Airport,745.0,,US,US-WI,Milwaukee,KMWC,MWC,MWC,"43.110401, -88.034401"
28162,KMWH,medium_airport,Grant County International Airport,1189.0,,US,US-WA,Moses Lake,KMWH,MWH,MWH,"47.20769882, -119.3199997"
28164,KMWL,small_airport,Mineral Wells Airport,974.0,,US,US-TX,Mineral Wells,KMWL,MWL,MWL,"32.7816009521, -98.0602035522"
28166,KMWO,small_airport,Middletown Regional Airport,650.0,,US,US-OH,Middletown,KMWO,MWO,MWO,"39.530998, -84.395302"
28167,KMXA,small_airport,Manila Municipal Airport,242.0,,US,US-AR,Manila,KMXA,MXA,MXA,"35.894402, -90.154602"
28168,KMXF,medium_airport,Maxwell Air Force Base,171.0,,US,US-AL,Montgomery,KMXF,MXF,MXF,"32.3829, -86.365799"
28171,KMYF,small_airport,Montgomery-Gibbs Executive Airport,427.0,,US,US-CA,San Diego,KMYF,MYF,MYF,"32.8157, -117.139999"
28173,KMYL,medium_airport,McCall Municipal Airport,5024.0,,US,US-ID,McCall,KMYL,MYL,MYL,"44.88970184, -116.1009979"
28174,KMYR,medium_airport,Myrtle Beach International Airport,25.0,,US,US-SC,Myrtle Beach,KMYR,MYR,MYR,"33.6796989441, -78.9282989502"
28175,KMYV,medium_airport,Yuba County Airport,64.0,,US,US-CA,Marysville,KMYV,MYV,MYV,"39.09780121, -121.5699997"
28178,KMZJ,small_airport,Pinal Airpark,1893.0,,US,US-AZ,Marana,KMZJ,MZJ,MZJ,"32.5106010437, -111.32800293"
28179,KMZZ,small_airport,Marion Municipal Airport,859.0,,US,US-IN,Marion,KMZZ,MZZ,MZZ,"40.4898986816, -85.6797027588"
28180,KN03,small_airport,Cortland County Chase Field,1198.0,,US,US-NY,Cortland,KN03,CTX,N03,"42.59260178, -76.21489716"
28186,KN23,small_airport,Sidney Municipal Airport,1027.0,,US,US-NY,Sidney,N23,SXY,N23,"42.302600860596, -75.416000366211"
28196,KN53,small_airport,Stroudsburg Pocono Airport,480.0,,US,US-PA,East Stroudsburg,KN53,ESP,N53,"41.0358009338, -75.1605987549"
28214,KNBG,medium_airport,New Orleans NAS JRB/Alvin Callender Field,2.0,,US,US-LA,New Orleans,KNBG,NBG,NBG,"29.82530022, -90.03500366"
28215,KNBJ,small_airport,Naval Outlying Field Barin,54.0,,US,US-AL,Foley,KNBJ,NHX,NBJ,"30.389099121100003, -87.63529968259999"
28217,KNDY,small_airport,Dahlgren Naval Surface Warfare Center Airport,18.0,,US,US-VA,Dahlgren,KNDY,DGN,NDY,"38.33250046, -77.03720093"
28219,KNEL,medium_airport,Lakehurst Maxfield Field Airport,101.0,,US,US-NJ,Lakehurst,KNEL,NEL,NEL,"40.03329849, -74.353302"
28220,KNEN,small_airport,Whitehouse Naval Outlying Field,99.0,,US,US-FL,Jacksonville,KNEN,NEN,NEN,"30.353900909424, -81.87190246582"
28221,KNEW,medium_airport,Lakefront Airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,NEW,"30.042400360107, -90.028297424316"
28226,KNFL,medium_airport,Fallon Naval Air Station,3934.0,,US,US-NV,Fallon,KNFL,NFL,NFL,"39.41659927, -118.7009964"
28227,KNFW,medium_airport,NAS Fort Worth JRB/Carswell Field,650.0,,US,US-TX,Fort Worth,KNFW,FWH,NFW,"32.76919937, -97.4414978"
28230,KNGU,medium_airport,Norfolk Naval Station (Chambers Field),17.0,,US,US-VA,Norfolk,KNGU,NGU,NGU,"36.937599, -76.289299"
28232,KNGZ,closed,Alameda Naval Air Station,10.0,,US,US-CA,Alameda,KNGZ,NGZ,,"37.78889846801758, -122.31999969482422"
28233,KNHK,medium_airport,Patuxent River Naval Air Station (Trapnell Field),39.0,,US,US-MD,Patuxent River,KNHK,NHK,NHK,"38.285999, -76.411797"
28236,KNHZ,medium_airport,Brunswick Executive Airport,72.0,,US,US-ME,Brunswick,KBXM,NHZ,BXM,"43.89220047, -69.93859863"
28238,KNIP,medium_airport,Jacksonville Naval Air Station (Towers Field),21.0,,US,US-FL,Jacksonville,KNIP,NIP,NIP,"30.2358, -81.680603"
28239,KNJK,medium_airport,El Centro NAF Airport (Vraciu Field),-42.0,,US,US-CA,El Centro,KNJK,NJK,NJK,"32.829201, -115.671996"
28245,KNKX,medium_airport,Miramar Marine Corps Air Station - Mitscher Field,477.0,,US,US-CA,San Diego,KNKX,NKX,NKX,"32.86840057, -117.1429977"
28246,KNL,closed,Kelanoa Airport,40.0,OC,PG,PG-MPL,Kelanoa,,KNL,,"-6.01, 147.49"
28247,KNLC,medium_airport,Lemoore Naval Air Station (Reeves Field) Airport,232.0,,US,US-CA,Lemoore,KNLC,NLC,NLC,"36.33300018, -119.9520035"
28253,KNPA,medium_airport,Pensacola Naval Air Station/Forrest Sherman Field,28.0,,US,US-FL,Pensacola,KNPA,NPA,NPA,"30.35269928, -87.31860352"
28255,KNQA,medium_airport,Millington-Memphis Airport,320.0,,US,US-TN,Millington,KNQA,NQA,NQA,"35.356701, -89.8703"
28257,KNQI,medium_airport,Kingsville Naval Air Station,50.0,,US,US-TX,Kingsville,KNQI,NQI,NQI,"27.5072002411, -97.8097000122"
28258,KNQX,medium_airport,Naval Air Station Key West/Boca Chica Field,6.0,,US,US-FL,Key West,KNQX,NQX,NQX,"24.57579994, -81.68890381"
28260,KNRB,medium_airport,Naval Station Mayport (Admiral David L. Mcdonald Field),15.0,,US,US-FL,Mayport,KNRB,NRB,NRB,"30.39109993, -81.42469788"
28263,KNRS,small_airport,Naval Outlying Field Imperial Beach (Ream Field),24.0,,US,US-CA,Imperial Beach,KNRS,NRS,NRS,"32.56669998, -117.1169968"
28264,KNSE,medium_airport,Whiting Field Naval Air Station - North,199.0,,US,US-FL,Milton,KNSE,NSE,NSE,"30.7241993, -87.02189636"
28266,KNTD,medium_airport,Point Mugu Naval Air Station (Naval Base Ventura Co),13.0,,US,US-CA,Point Mugu,KNTD,NTD,NTD,"34.120300293, -119.121002197"
28268,KNTU,medium_airport,Oceana Naval Air Station,23.0,,US,US-VA,Virginia Beach,KNTU,NTU,NTU,"36.820702, -76.033501"
28272,KNUQ,medium_airport,Moffett Federal Airfield,32.0,,US,US-CA,Mountain View,KNUQ,NUQ,NUQ,"37.4161, -122.049004"
28273,KNUW,medium_airport,Whidbey Island Naval Air Station (Ault Field),47.0,,US,US-WA,Oak Harbor,KNUW,NUW,NUW,"48.351799, -122.655998"
28282,KNYL,medium_airport,Yuma MCAS/Yuma International Airport,213.0,,US,US-AZ,Yuma,KNYL,YUM,NYL,"32.65660095, -114.6060028"
28286,KNZY,medium_airport,North Island Naval Air Station-Halsey Field,26.0,,US,US-CA,San Diego,KNZY,NZY,NZY,"32.69919968, -117.2149963"
28287,KO02,small_airport,Nervino Airport,4900.0,,US,US-CA,Beckwourth,KO02,NVN,O02,"39.8185005188, -120.352996826"
28295,KO22,small_airport,Columbia Airport,2118.0,,US,US-CA,Columbia,O22,COA,O22,"38.030399322499996, -120.415000916"
28298,KO27,small_airport,Oakdale Airport,237.0,,US,US-CA,Oakdale,O27,ODC,O27,"37.75630188, -120.8000031"
28305,KO43,small_airport,Yerington Municipal Airport,4378.0,,US,US-NV,Yerington,O43,EYR,O43,"39.0041007996, -119.157997131"
28324,KOAJ,medium_airport,Albert J Ellis Airport,94.0,,US,US-NC,Jacksonville,KOAJ,OAJ,OAJ,"34.8292007446, -77.61209869380001"
28325,KOAK,large_airport,Metropolitan Oakland International Airport,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,"37.721298, -122.221001"
28326,KOAR,small_airport,Marina Municipal Airport,137.0,,US,US-CA,Marina,KOAR,OAR,OAR,"36.68190002, -121.762001"
28327,KOBE,small_airport,Okeechobee County Airport,34.0,,US,US-FL,Okeechobee,KOBE,OBE,OBE,"27.262800216699997, -80.8498001099"
28329,KOCF,small_airport,Ocala International Airport - Jim Taylor Field,90.0,,US,US-FL,Ocala,KOCF,OCF,OCF,"29.17259979, -82.22419739"
28330,KOCH,small_airport,A L Mangham Jr. Regional Airport,355.0,,US,US-TX,Nacogdoches,KOCH,OCH,OCH,"31.57799911, -94.70950317"
28332,KOCW,small_airport,Warren Field,38.0,,US,US-NC,Washington,KOCW,OCW,OCW,"35.570499420166, -77.049797058105"
28335,KOEA,small_airport,O'Neal Airport,414.0,,US,US-IN,Vincennes,KOEA,OEA,OEA,"38.6913986206, -87.5522003174"
28338,KOEO,small_airport,L O Simenstad Municipal Airport,903.0,,US,US-WI,Osceola,KOEO,OEO,OEO,"45.310001373291, -92.691902160645"
28339,KOFF,medium_airport,Offutt Air Force Base,1052.0,,US,US-NE,Omaha,KOFF,OFF,OFF,"41.118301391602, -95.912498474121"
28340,KOFK,medium_airport,Karl Stefan Memorial Airport,1573.0,,US,US-NE,Norfolk,KOFK,OFK,OFK,"41.985500335693, -97.435096740723"
28342,KOGA,small_airport,Searle Field,3279.0,,US,US-NE,Ogallala,KOGA,OGA,OGA,"41.11949921, -101.7699966"
28343,KOGB,medium_airport,Orangeburg Municipal Airport,195.0,,US,US-SC,Orangeburg,KOGB,OGB,OGB,"33.456798553467, -80.859497070312"
28344,KOGD,medium_airport,Ogden Hinckley Airport,4473.0,,US,US-UT,Ogden,KOGD,OGD,OGD,"41.195899963379, -112.0120010376"
28346,KOGS,small_airport,Ogdensburg International Airport,297.0,,US,US-NY,Ogdensburg,KOGS,OGS,OGS,"44.6819000244, -75.46549987790002"
28347,KOIC,small_airport,Lt Warren Eaton Airport,1025.0,,US,US-NY,Norwich,KOIC,OIC,OIC,"42.566600799561, -75.524101257324"
28348,KOIL,closed,Splane Memorial Airport,1552.0,,US,US-PA,Oil City,KOIL,OIL,OIL,"41.4813, -79.7449"
28351,KOJC,small_airport,Johnson County Executive Airport,1096.0,,US,US-KS,Olathe,KOJC,OJC,OJC,"38.84759903, -94.73760223"
28352,KOKB,small_airport,Oceanside Municipal Airport,28.0,,US,US-CA,Oceanside,KOKB,OCN,OKB,"33.217300415039, -117.35399627686"
28353,KOKC,large_airport,Will Rogers World Airport,1295.0,,US,US-OK,Oklahoma City,KOKC,OKC,OKC,"35.39310073852539, -97.60070037841797"
28354,KOKH,small_airport,AJ Eisenberg Airport,193.0,,US,US-WA,Oak Harbor,KOKH,ODW,OKH,"48.251499176, -122.674003601"
28355,KOKK,small_airport,Kokomo Municipal Airport,830.0,,US,US-IN,Kokomo,KOKK,OKK,OKK,"40.528198242188, -86.05899810791"
28356,KOKM,small_airport,Okmulgee Regional Airport,720.0,,US,US-OK,Okmulgee,KOKM,OKM,OKM,"35.668098449707, -95.948699951172"
28357,KOKS,small_airport,Garden County Airport,3394.0,,US,US-NE,Oshkosh,KOKS,OKS,OKS,"41.401000976562, -102.35500335693"
28358,KOKV,small_airport,Winchester Regional Airport,726.0,,US,US-VA,Winchester,KOKV,WGO,OKV,"39.14350128, -78.14440155"
28360,KOL,closed,Koumala Airport,2175.0,AF,CF,CF-BB,Koumala,,KOL,,"8.4965, 21.2565"
28361,KOLD,small_airport,"Dewitt Field,Old Town Municipal Airport",126.0,,US,US-ME,Old Town,KOLD,OLD,OLD,"44.95280075, -68.67430115"
28363,KOLF,medium_airport,L M Clayton Airport,1986.0,,US,US-MT,Wolf Point,KOLF,OLF,OLF,"48.094501495399996, -105.574996948"
28365,KOLM,medium_airport,Olympia Regional Airport,209.0,,US,US-WA,Olympia,KOLM,OLM,OLM,"46.9693985, -122.9029999"
28366,KOLS,medium_airport,Nogales International Airport,3955.0,,US,US-AZ,Nogales,KOLS,OLS,OLS,"31.4177, -110.848"
28368,KOLV,small_airport,Olive Branch Airport,402.0,,US,US-MS,Olive Branch,KOLV,OLV,OLV,"34.9786987305, -89.78690338130001"
28371,KOM,small_airport,Komo-Manda Airport,5057.0,OC,PG,PG-HE,Komo,AYOO,KOM,KOMO,"-6.0682, 142.8598"
28372,KOMA,large_airport,Eppley Airfield,984.0,,US,US-NE,Omaha,KOMA,OMA,OMA,"41.3032, -95.894096"
28374,KOMK,small_airport,Omak Airport,1305.0,,US,US-WA,Omak,KOMK,OMK,OMK,"48.4644012451, -119.517997742"
28377,KONL,small_airport,The O'Neill Municipal John L Baker Field,2031.0,,US,US-NE,O'Neill,KONL,ONL,ONL,"42.469898, -98.688103"
28379,KONO,small_airport,Ontario Municipal Airport,2193.0,,US,US-OR,Ontario,KONO,ONO,ONO,"44.020500183105, -117.01399993896"
28380,KONP,medium_airport,Newport Municipal Airport,160.0,,US,US-OR,Newport,KONP,ONP,ONP,"44.580399, -124.057999"
28381,KONT,large_airport,Ontario International Airport,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,"34.055999755859375, -117.60099792480469"
28386,KOPF,medium_airport,Opa-locka Executive Airport,8.0,,US,US-FL,Miami,KOPF,OPF,OPF,"25.907, -80.278397"
28390,KOQU,medium_airport,Quonset State Airport,18.0,,US,US-RI,North Kingstown,KOQU,NCO,OQU,"41.597099304199, -71.412101745605"
28392,KOR,small_airport,Kakoro(Koroko) Airstrip,230.0,OC,PG,PG-GPK,Kakoro,AYRO,KOR,KKO,"-7.8346666666700004, 146.5335"
28395,KORD,large_airport,Chicago O'Hare International Airport,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,"41.9786, -87.9048"
28397,KORF,large_airport,Norfolk International Airport,26.0,,US,US-VA,Norfolk,KORF,ORF,ORF,"36.89459991455078, -76.20120239257812"
28399,KORH,medium_airport,Worcester Regional Airport,1009.0,,US,US-MA,Worcester,KORH,ORH,ORH,"42.26729965209961, -71.87570190429688"
28401,KORL,small_airport,Orlando Executive Airport,113.0,,US,US-FL,Orlando,KORL,ORL,ORL,"28.5455, -81.332901"
28402,KORS,small_airport,Orcas Island Airport,31.0,,US,US-WA,Eastsound,KORS,ESD,ORS,"48.7081985474, -122.910003662"
28404,KOSC,small_airport,Oscoda Wurtsmith Airport,633.0,,US,US-MI,Oscoda,KOSC,OSC,OSC,"44.451599, -83.394096"
28405,KOSH,medium_airport,Wittman Regional Airport,808.0,,US,US-WI,Oshkosh,KOSH,OSH,OSH,"43.98440170288086, -88.55699920654297"
28406,KOSU,medium_airport,The Ohio State University Airport - Don Scott Field,905.0,,US,US-OH,Columbus,KOSU,OSU,OSU,"40.0798, -83.072998"
28409,KOTH,medium_airport,Southwest Oregon Regional Airport,17.0,,US,US-OR,North Bend,KOTH,OTH,OTH,"43.41709899902344, -124.24600219726562"
28410,KOTM,medium_airport,Ottumwa Regional Airport,845.0,,US,US-IA,Ottumwa,KOTM,OTM,OTM,"41.10660172, -92.44789886"
28411,KOUN,small_airport,University of Oklahoma Westheimer Airport,1182.0,,US,US-OK,Norman,KOUN,OUN,OUN,"35.2456, -97.472099"
28412,KOVE,small_airport,Oroville Municipal Airport,192.0,,US,US-CA,Oroville,KOVE,OVE,OVE,"39.487800598145, -121.62200164795"
28417,KOWA,small_airport,Owatonna Degner Regional Airport,1145.0,,US,US-MN,Owatonna,KOWA,OWA,OWA,"44.12340164, -93.26059723"
28418,KOWB,medium_airport,Owensboro Daviess County Airport,407.0,,US,US-KY,Owensboro,KOWB,OWB,OWB,"37.74010086, -87.16680145"
28419,KOWD,medium_airport,Norwood Memorial Airport,49.0,,US,US-MA,Norwood,KOWD,OWD,OWD,"42.1904983521, -71.1728973389"
28421,KOWK,small_airport,Central Maine Airport of Norridgewock,270.0,,US,US-ME,Norridgewock,KOWK,OWK,OWK,"44.71549988, -69.86650085"
28424,KOXB,small_airport,Ocean City Municipal Airport,11.0,,US,US-MD,Ocean City,KOXB,OCE,OXB,"38.310398101807, -75.124000549316"
28425,KOXC,small_airport,Waterbury Oxford Airport,726.0,,US,US-CT,Oxford,KOXC,OXC,OXC,"41.47859954834, -73.135200500488"
28426,KOXD,small_airport,Miami University Airport,1041.0,,US,US-OH,Oxford,KOXD,OXD,OXD,"39.50230026, -84.78440094"
28428,KOXR,medium_airport,Oxnard Airport,45.0,,US,US-CA,Oxnard,KOXR,OXR,OXR,"34.200801849365, -119.20700073242"
28430,KOY,seaplane_base,Olga Bay Seaplane Base,0.0,,US,US-AK,Olga Bay,KOY,KOY,KOY,"57.161499023400005, -154.229995728"
28431,KOYM,small_airport,St Marys Municipal Airport,1934.0,,US,US-PA,St Marys,KOYM,STQ,OYM,"41.412498474121, -78.502601623535"
28432,KOZA,small_airport,Ozona Municipal Airport,2381.0,,US,US-TX,Ozona,KOZA,OZA,OZA,"30.735300064087, -101.20300292969"
28433,KOZR,medium_airport,Cairns AAF (Fort Rucker) Air Field,301.0,,US,US-AL,Fort Rucker/Ozark,KOZR,OZR,OZR,"31.27569962, -85.71340179"
28463,KP-0029,small_airport,Samjiyŏn Airport,4547.0,AS,KP,KP-10,Samjiyŏn,ZKSE,YJS,,"41.907132, 128.409834"
